"","Rank","BriefTitle","Condition","StartDate","NCTId","OrgFullName","OverallStatus","BriefSummary","DetailedDescription","Keyword","StudyType","EligibilityCriteria","HealthyVolunteers","MinimumAge","Gender","location","LocationCity","LocationZip","LocationState","ResponsiblePartyInvestigatorFullName","LocationCountry","lon","lat"
"11",15,"Analysis of Brain Activity to Uncover Brain-behavior Relationships Related to Therapy Outcomes in Aphasia","Aphasia","September 25, 2018","NCT03550092","Penn State University","Recruiting","Aphasia is a loss of language due to stroke or other brain injury. Word-finding in conversation is a universal and persistent difficulty in aphasia. While several techniques exist to improve word-finding in aphasia, it is unclear how the brain changes in response to behavioral therapy. In this study, persons with aphasia will receive behavioral therapy aimed at helping them to be more successful at finding words. Twenty therapy sessions will be provided in a 10-week period. Each therapy session will last about 2 hours and will include a variety of language tasks. Prior to beginning word-finding therapy, each participant will receive two fMRI scans, spaced 10 weeks apart. After finishing therapy, each participant will receive two additional fMRI scans, spaced 10 weeks apart. For a portion of the MRI scan, participants will complete language tasks. The purpose of these fMRI scans is to measure brain changes that may occur due to successful behavioral therapy. The hypotheses are as follows: First, that the behavioral therapy will improve word-finding as it has been shown to do in the past. Second, that the brain will change in a couple of different ways. It is expected that the network of regions that support word-finding will be more connected and work together more efficiently after therapy. It is also expected that the networks of regions that support other aspects of cognitive function, such as attention and executive function, will also be more connected and work together more efficiently.",NA,"aphasia treatment therapy anomia fMRI neuroimaging semantics","Interventional","Inclusion Criteria:

Diagnosis of aphasia
Sustained stroke more than 6 months prior to consent
Right-handed
Native speakers of English
Completed at least a high school education
Normal or corrected-to-normal vision and hearing
Provide written informed consent
Participants will be medically stable and at least wheelchair ambulatory at the time of participation with uncompromised use of the left hand

Exclusion Criteria:

History of degenerative neurological disorders (e.g., Alzheimer's disease), acquired neurological disorders other than aphasia from stroke (e.g., traumatic brain injury), developmental neurological disorders (e.g., autism), or psychiatric disorders
An active medical condition that could compromise participation (e.g., cancer undergoing acute treatment)
Not safe to enter the bore of the magnet (e.g., pacemaker)
Taking medications that are known to exert significant effects on cognitive processes
Pregnancy or possibility of pregnancy
Do not meet the above inclusionary criteria","No",NA,"All","Hershey Pennsylvania United States","Hershey","17033","Pennsylvania","Chaleece Sandberg","United States",-76.6506,40.2855
"12",19,"Semantic Feature Analysis Treatment for Aphasia","Aphasia","February 24, 2020","NCT04215952","VA Pittsburgh Healthcare System","Recruiting","This randomized controlled comparative effectiveness study examines manipulation of a key component of an established and efficacious treatment for naming impairments in aphasia, along with cognitive and brain correlates of treatment success. Study participants will be randomly assigned to one of two treatment conditions comparing two different versions of Semantic Feature Analysis treatment. Their performance on standardized and study-specific measures will be used to determine which version of the treatment provides superior outcomes, and measures of automatic language processing and functional brain imaging will also be used to identify the underlying neurocognitive mechanisms associated with positive treatment response.","This randomized comparative effectiveness trial examines whether active manipulation of a key component of semantic feature analysis (SFA) treatment for word-finding difficulty in aphasia improves outcomes. 40 study participants will be recruited and randomized to receive one of the two versions of the treatment. The total treatment time will be equated in the two conditions.

Study participants will be housed locally at the Pittsburgh site at no cost and will be eligible to receive reimbursement for travel expenses. During the five-week treatment phase of the study, participants will receive 60 hours of SFA treatment with pre- and post-treatment assessment of their ability to name pictures of treated and untreated, semantically related nouns. Other secondary outcomes, including measures of connected speech and patient-reported communication ability will also be collected. In order to address unresolved questions about the underlying cognitive and neural mechanisms of SFA, participants will also receive concurrent pre- and post-treatment assessment of automatic word processing ability using eye-tracking methods and functional magnetic resonance imaging (fMRI). Participants will also be asked to return to Pittsburgh for two days approximately 2-3 months later for follow-up language, eye-tracking, and fMRI testing.

The language testing results will be used to determine which version of SFA treatment optimizes outcomes. The eye-tracking results will be used to infer whether SFA's positive effects can be attributed to improved activation of lexical-semantic representations, improved ability to inhibit competing representations, or both. The fMRI results will be used to identify the brain networks and activation changes associated with changes in naming ability resulting from SFA. This study will provide theoretically and clinically relevant information about how aphasia treatment should be delivered and the neurocognitive mechanisms underlying its effects.","Anomia Semantic Feature Analysis","Interventional","Inclusion Criteria:

6 months post-onset of aphasia due to unilateral left-hemisphere (LH) stroke
Independent in activities of daily living (ADLs) necessary to live in community-based housing or available caregiver to assist with ADLs
Medically stable and able to tolerate intensive treatment schedule (e.g. no uncontrolled seizures, difficulty breathing, frequent migraines)
English as a first language
No participation in any other speech-language treatment during this study, including follow-up period
Sufficient auditory comprehension abilities demonstrated during screening
Sufficient naming impairment exhibited during screening

Exclusion Criteria:

Right Hemisphere stroke
Neurological disease other than stroke
Significant psychiatric disorder
Severe motor speech disorder
Active substance dependence","No","18 Years","All","Pittsburgh Pennsylvania United States","Pittsburgh","15240","Pennsylvania",NA,"United States",-79.9901,40.4417
"13",20,"Transcranial Magnetic Stimulation and Constraint Induced Language Therapy for Chronic Aphasia","Aphasia","March 28, 2019","NCT03651700","University of Pennsylvania","Recruiting","Transcranial Magnetic Stimulation (TMS) has been demonstrated to improve language function in subjects with chronic aphasia in a number of small studies, many of which did not include a control group. Although the treatment appears promising, data to date do not permit an adequate assessment of the utility of the technique. The investigators propose to study the effects of TMS combined with Constraint Induced Language Therapy (CILT) in 75 subjects with chronic aphasia. Subjects will be randomized in a 2:1 ratio to TMS with CILT or sham TMS with CILT. One Hz TMS at 90% motor threshold will be delivered to the right inferior frontal gyrus for 20 minutes in 10 sessions over 2 weeks; language therapy will be provided for one hour immediately after the conclusion of each session of TMS. Change from baseline in the Western Aphasia Battery Aphasia Quotient at 6 months after the end of TMS treatment will serve as the primary outcome measure. A secondary aim is to identify anatomic and behavioral predictors of response to treatment. Finally, a third aim is to identify the mechanism underlying the beneficial effect of the treatment using a variety of imaging techniques. Subjects who have no contraindication to the MRI will undergo fMRI imaging prior to and at 6 months after therapy. Using modern network analyses and robust machine learning techniques, the investigators will identify changes in the strengths of connections between nodes in the language network to address specific hypotheses regarding the effects of TMS and CILT on brain organization that are associated with beneficial response to treatment.","TMS is a technique by which a brief electrical current is induced in brain tissue causing a brief suppression of the excitability of the underlying tissue; the technique, which was introduced in the 1980s and has been extensively used around the world, has been shown to transiently improve or disrupt specific cognitive operations. To achieve this end, a coil is positioned against the subject's head. The delivery of a single pulse begins with the discharge of current from a capacitor into a circular or figure-of-eight coil; this electrical current generates a brief magnetic field of up to 2.2 Tesla. As the pulse of electricity has a rise time of 0.2 ms. and a duration of 1 ms., the magnetic field changes in intensity quite rapidly. Because the magnetic field passes freely through the scalp, skull, and meninges, the flux in the magnetic field induces a small electric field in the brain that transiently alters neural activity.

TMS may be delivered in a variety of ways. The investigators propose to use 1 Hz TMS; that is, TMS pulses will be delivered at a frequency of 1/second. This style of TMS is assumed to be inhibitory in that it transiently suppresses the function of the cortex under the coil. Using the figure-of-eight coil to be employed here, TMS is thought to reduce activity in approximately 1 cubic cm. of cortex. Many investigators have employed TMS with a frequency of 1 Hz for periods of 20 minutes and longer; mild behavioral deficits are often present for several minutes in these studies.

The baseline phase will consist of 3 sessions, each lasting 1-2 hours depending on the stamina of the subject. The point of the baseline testing is to characterize the subject's language function. To that end, a number of standard language and neuropsychological tasks will be administered. These include the Western Aphasia Battery, Pyramids and Palm Trees test, Figural Fluency Test, word and non-word repetition tasks, the Nicholas and Brookshire Narratives, CILT stimulus naming, and Northwestern Assessment of Verbs and Sentences. Additionally, during the baseline, subjects will undergo MRI of the brain or, if they have a contraindication to MRI, a CAT scan of the head. No contrast will be used.

In the treatment phase, there will be 10 TMS sessions over 2 consecutive weeks in which 20 minutes (1200 pulses) of 1 Hz TMS at 90% motor threshold will be delivered to the inferior pars triangularis. Each TMS treatment session will be immediately followed by a 60-90 minute session of CILT

There will be two 3-month post-treatment visits and two 6-month post-treatment visits in which the full battery of language and cognitive assessments will be repeated. Subjects who are able to undergo MRI scanning will have anatomic and fMRI scans at the first 6-month post-treatment visit.

The investigators will pair TMS with CILT which has been shown to have positive outcomes in post-stroke aphasia. CILT invokes use-dependent learning in communicative interactions by requiring spoken output and restricting use of alternative forms of communication, such as gestures. The investigators will use a dual card-matching task modeled after Maher et al. As in the original CILT design, the participant interacts verbally with a conversational partner (here, the speech language pathologist), in turn requesting a card of given description and complying with the partner's request. In this way, the treatment targets both production and comprehension. Moreover, as verbal targets increase in linguistic complexity across the protocol (""a ball"", ""throw a ball""; ""Do you have a ball""?), a variety of lexical and phrasal structures are targeted. Studies of CILT have reported gains on multiple language behaviors, supporting its broad engagement of the language network.","","Interventional","Inclusion Criteria:

Clinical evidence and MRI or CT verification of a single left hemisphere stroke with moderate to severe aphasia.
Suffered their stroke at least 6 months prior to their testing
Must be able to understand the nature of the study, and give informed consent

Exclusion Criteria:

Multiple strokes (excluding small lacunar strokes) as defined by brain imaging
History of substance abuse
Previous head trauma with loss of consciousness for more than 5 minutes
Psychiatric illness (We note that subjects will be assessed with the 15-item Geriatric Depression scale. Because depression is very difficult to evaluate in aphasic subjects, potential subjects will not be excluded on the basis of the depression score)
Chronic exposure to medications that might be expected to have lasting consequences for the central nervous system (e.g. haloperidol, dopaminergics)
History of or neuropsychological findings suggestive of dementia","No","18 Years","All","Philadelphia Pennsylvania United States","Philadelphia","19104","Pennsylvania","H. Branch Coslett","United States",-75.1327,40.0115
"14",21,"Predicting Rehabilitation Outcomes in Bilingual Aphasia Using Computational Modeling","Aphasia","April 20, 2018","NCT02916524","Boston University Charles River Campus","Recruiting","The purpose of this investigation is to implement a computational model that can predict and optimize training and cross-language generalization patterns for bilingual persons with aphasia (BPA). The proposed work will determine the best possible treatment program for each individual patient even before they are rehabilitated. In addition, the computational model allows specification of variables such as age of acquisition, language exposure/proficiency, impairment and their systematic influence on a range of language rehabilitation outcomes.",NA,"Aphasia Bilingualism Language therapy Rehabilitation of speech and language disorders Speech-language pathology","Interventional","Inclusion Criteria:

Any number of years of education
Bilingual: speaking both Spanish and English (or Chinese and English) with any degree of language proficiency prior to stroke
Aphasia secondary to a left-hemisphere stroke (diagnosed by a neurologist on the basis of clinical CT/MRI imaging or medical reports)
Aphasia resulting from stroke or dementia
Naming deficits must be present with concurrent lexical/semantic impairment
Visual and auditory acuity sufficient for all assessment and treatment procedures
Ability to understand study and follow study procedures for the entire length of the study

Exclusion Criteria:

Premorbid history of speech/language disorder
Proficient in more than just Spanish and English (or Chinese and English)
Overt, behaviorally noticeable, attentional limitations that interfere with completing the experimental tasks
Active medical disease that may compromise participation (e.g., cancer undergoing acute treatment, unstable diabetes, renal or hepatic insufficiency, fluctuating systemic immunological disease such as systemic lupus erythematosis, etc.)
Currently taking medications that are known to exert significant effects on cognitive processes, such as neuroleptics, steroids, anticholinesterase inhibitors, etc.
Current drug or alcohol use or dependence that would interfere with adherence to study requirements, in the opinion of the principal investigator
Inability or unwillingness of individual to give written informed consent
Diagnosed with mental illness other than active depression
Neurological condition other than that which resulted in aphasia","No","18 Years","All","San Francisco California United States","San Francisco","94132","California","Swathi Kiran","United States",-122.463,37.7648
"15",21,"Predicting Rehabilitation Outcomes in Bilingual Aphasia Using Computational Modeling","Aphasia","April 20, 2018","NCT02916524","Boston University Charles River Campus","Recruiting","The purpose of this investigation is to implement a computational model that can predict and optimize training and cross-language generalization patterns for bilingual persons with aphasia (BPA). The proposed work will determine the best possible treatment program for each individual patient even before they are rehabilitated. In addition, the computational model allows specification of variables such as age of acquisition, language exposure/proficiency, impairment and their systematic influence on a range of language rehabilitation outcomes.",NA,"Aphasia Bilingualism Language therapy Rehabilitation of speech and language disorders Speech-language pathology","Interventional","Inclusion Criteria:

Any number of years of education
Bilingual: speaking both Spanish and English (or Chinese and English) with any degree of language proficiency prior to stroke
Aphasia secondary to a left-hemisphere stroke (diagnosed by a neurologist on the basis of clinical CT/MRI imaging or medical reports)
Aphasia resulting from stroke or dementia
Naming deficits must be present with concurrent lexical/semantic impairment
Visual and auditory acuity sufficient for all assessment and treatment procedures
Ability to understand study and follow study procedures for the entire length of the study

Exclusion Criteria:

Premorbid history of speech/language disorder
Proficient in more than just Spanish and English (or Chinese and English)
Overt, behaviorally noticeable, attentional limitations that interfere with completing the experimental tasks
Active medical disease that may compromise participation (e.g., cancer undergoing acute treatment, unstable diabetes, renal or hepatic insufficiency, fluctuating systemic immunological disease such as systemic lupus erythematosis, etc.)
Currently taking medications that are known to exert significant effects on cognitive processes, such as neuroleptics, steroids, anticholinesterase inhibitors, etc.
Current drug or alcohol use or dependence that would interfere with adherence to study requirements, in the opinion of the principal investigator
Inability or unwillingness of individual to give written informed consent
Diagnosed with mental illness other than active depression
Neurological condition other than that which resulted in aphasia","No","18 Years","All","Boston Massachusetts United States","Boston","02215","Massachusetts","Swathi Kiran","United States",-71.0596,42.3605
"16",21,"Predicting Rehabilitation Outcomes in Bilingual Aphasia Using Computational Modeling","Aphasia","April 20, 2018","NCT02916524","Boston University Charles River Campus","Recruiting","The purpose of this investigation is to implement a computational model that can predict and optimize training and cross-language generalization patterns for bilingual persons with aphasia (BPA). The proposed work will determine the best possible treatment program for each individual patient even before they are rehabilitated. In addition, the computational model allows specification of variables such as age of acquisition, language exposure/proficiency, impairment and their systematic influence on a range of language rehabilitation outcomes.",NA,"Aphasia Bilingualism Language therapy Rehabilitation of speech and language disorders Speech-language pathology","Interventional","Inclusion Criteria:

Any number of years of education
Bilingual: speaking both Spanish and English (or Chinese and English) with any degree of language proficiency prior to stroke
Aphasia secondary to a left-hemisphere stroke (diagnosed by a neurologist on the basis of clinical CT/MRI imaging or medical reports)
Aphasia resulting from stroke or dementia
Naming deficits must be present with concurrent lexical/semantic impairment
Visual and auditory acuity sufficient for all assessment and treatment procedures
Ability to understand study and follow study procedures for the entire length of the study

Exclusion Criteria:

Premorbid history of speech/language disorder
Proficient in more than just Spanish and English (or Chinese and English)
Overt, behaviorally noticeable, attentional limitations that interfere with completing the experimental tasks
Active medical disease that may compromise participation (e.g., cancer undergoing acute treatment, unstable diabetes, renal or hepatic insufficiency, fluctuating systemic immunological disease such as systemic lupus erythematosis, etc.)
Currently taking medications that are known to exert significant effects on cognitive processes, such as neuroleptics, steroids, anticholinesterase inhibitors, etc.
Current drug or alcohol use or dependence that would interfere with adherence to study requirements, in the opinion of the principal investigator
Inability or unwillingness of individual to give written informed consent
Diagnosed with mental illness other than active depression
Neurological condition other than that which resulted in aphasia","No","18 Years","All","Austin Texas United States","Austin","78757","Texas","Swathi Kiran","United States",-97.7437,30.2711
"17",27,"Targeted TDCS to Enhance Speech-Language Treatment Outcome in Persons With Chronic Post-Stroke Aphasia.","Stroke Aphasia","December 1, 2016","NCT04432883","University of New Mexico","Recruiting","50 patients who are one year post stroke and have Aphasia as a result of that stroke will be recruited. Participants will have 5 assessment sessions and 15 treatment sessions. The TDCS will be to right Inferior Frontal Gyrus (IFG) (25 active, 25 sham) for 15 days. A combined semantic feature analysis/phonological components analysis treatment will be paired with the stimulation. Two assessment sessions will be pretreatment, 1 session immediately post-treatment, 1 session at one-month follow-up, and 1 session at 2 months follow-up.","Our long-term goal is to develop safe and effective treatments for the communication problems of Aphasia due to stroke that restore patients to higher levels of functioning, decrease disability, and promote higher quality of life. While language therapy for aphasia is effective, improvements are typically slow, and gains may be small. Noninvasive brain stimulation has been suggested as a method to enhance outcomes from language therapy. This study will examine whether outcomes for language therapy with brain stimulation are different from outcomes for language therapy without brain stimulation in people with aphasia. Our central hypotheses are (1) targeted right hemisphere HDtDCS (RH-HD-tDCS) administered in combination with language treatment will result in greater changes in naming accuracy than language treatment with the sham RH-HD-tDCS (2) RH-HD-tDCS plus language treatment will result in greater increases in communication within the affected hemisphere compared to language treatment plus sham RH-HD-tDCS (3) RH-HD-tDCS plus language treatment will result in greater increases in perilesional areas working together immediately post-treatment compared to language treatment plus sham RH-HD-tDCS","Stroke Aphasia brain stimulation communication problems speech and language therapy","Interventional","Inclusion Criteria:

aged 25-85
must be greater than 1 year post-stroke
must have a diagnosis of aphasia based on impaired performance on the Western Aphasia Battery-Revised, Boston Naming Test, or during discourse production
must be left-hemisphere dominant as demonstrated by aphasia onset subsequent to left hemisphere damage
must be stimulable for naming

Exclusion Criteria:

comorbid neurological disease.
damage to the anterior right hemisphere.
significant mood disorder.
substance/alcohol dependence or abuse within the past year
presence of any implanted electrical device or contraindications to tDCS or MRI
recent medical instability (within 4 weeks)
pregnancy","No","25 Years","All","Albuquerque New Mexico United States","Albuquerque","87106","New Mexico","Jessica Richardson","United States",-106.651,35.0841
"18",29,"Modulating Intensity and Dosage of Aphasia Scripts","Aphasia","September 21, 2020","NCT04138940","Shirley Ryan AbilityLab","Recruiting","The purpose of this study is to evaluate how changing conditions of speech-language treatment (namely, amount of repetition and distribution of practice schedule) affects the language outcome of participants with aphasia following a stroke. Using a computer based speech and language therapy program, participants will practice conversational scripts that are either short or long. Participants will practice for either 2 weeks (5 days a week) or for 5 weeks (2 days a week).","Determining the optimal intensity of treatment is essential to the design and implementation of any treatment program for aphasia. Yet, treatment intensity is a complex construct and information on the variables modulating it remain ambiguous and limited. Studies reported in the neuroscience and clinical literature support the need for intensive treatment to induce long-term neuroplastic changes while the cognitive psychology literature suggests that learning is best maintained with distributed schedules. A few studies have looked at dose parameters for single word naming tasks, but there is limited evidence regarding dose parameters for treatments that focus on training the production of larger units, such as sentences or even connected discourse. One approach that is frequently used clinically and has evidence for its efficacy is script training. Little is currently known regarding the optimum dose of script training (i.e., the number of repetitions over time of each sentence within the script) that is required to promote the best outcomes.

This study investigates the effects of modulating stimulus variables, specifically stimulus practice distribution and stimulus repetition. We use a baseline script treatment that has experimental support regarding its efficacy, and that allows the manipulation of these variables. To ensure independence and fidelity, treatment is provided in a controlled computer environment (desktop and tablet). To avoid clinician-related variables such as expertise and personality factors that may influence treatment, sentences are modeled during treatment by an anthropomorphic agent with high visual speech intelligibility and affective expressions.

With regard to ""best outcomes"", generalization is the ultimate goal of any treatment approach. Therefore, the primary outcome is a generalization measure of conversation. Secondary measures address short-term acquisition, longer-term maintenance, and stimulus and response generalization for assessing gain over baseline, differential effects, and interactions. A mobile-connected wireless wearable laryngeal sensor allows tracking of talk time at home and in the community as a measure of treatment effectiveness and transfer. For privacy, it does not record audio.

Results and computational models of learning (generalization, short-term acquisition, and longer-term maintenance) will contribute new evidence to fill critical gaps in current scientific understanding regarding the effectiveness and clinical application of aphasia treatment approaches. More generally, findings will help to inform clinical practice and treatment of neurologic communication disorders; the virtual clinician guided intervention that the proposal develops has the potential to reduce costly clinician-client time otherwise required for long-term rehabilitation.","Stroke Speech and Language Therapy Speech and Language Treatment Communication Disorders Language Disorders","Interventional","Inclusion Criteria:

Men or women with diagnosis of aphasia
Left-hemisphere stroke
Aphasia Quotient score between 40-80 on the Western Aphasia Battery-Revised
At least 6 months post stroke
Completed at least eighth grade education
Premorbidly literate in English
Visual acuity no worse than 20/100 corrected in the better eye
Auditory acuity no worse than 30 dB HL on pure tone testing, aided in better ear
Not receiving speech-language therapy at the time of study

Exclusion Criteria:

Any other neurological condition (other than cerebral vascular disease) that could potentially affect cognition or speech, such as Parkinson's Disease, Alzheimer's Dementia, traumatic brain injury
Any significant psychiatric history prior to the stroke, such as severe major depression or psychotic disorder requiring hospitalization; subjects with mood disorders who are currently stable on treatment will be considered
Active substance abuse","No","21 Years","All","Chicago Illinois United States","Chicago","60611","Illinois","Leora Cherney","United States",-87.6244,41.8756
"19",31,"Improving Aphasia Using Electrical Brain Stimulation","Stroke Aphasia","July 12, 2021","NCT04963803","Syracuse University","Recruiting","Language and communication are essential for almost every aspect of human life, but for people who have aphasia, a language processing disorder that can occur after stroke or brain injury, even simple conversations can become a formidable challenge. Speech and language therapy can help people recover their language ability, but often requires months or even years of therapy before a person is able to overcome these challenges. This research will investigate non-invasive brain stimulation as a way to enhance the effects of speech and language therapy, which may ultimately lead to better and faster recovery from stroke and aphasia. The investigators hypothesize that participants with aphasia who receive speech and language therapy paired with active electrical brain stimulation will improve significantly more on a language comprehension task than those who receive speech and language therapy paired with sham stimulation.",NA,"tDCS attention language speech-language therapy","Interventional","Inclusion Criteria:

18 years or older.
No diagnosis of neurological disorder (other than stroke).
No diagnosis of psychiatric disorder.
No seizure within the past 6 months.
Not pregnant.
In chronic phase of recovery, defined as at least 6 months post-stroke.
Not undergoing speech and language therapy targeting auditory comprehension or attention for the duration of the study.
No metal implants in the head.
No unhealed skull fractures.
Onset of aphasia related to left hemisphere stroke.
Damaged brain tissue from stroke does not overlap with left hemisphere dorsolateral prefrontal cortex.
Mild to moderate aphasia.
Cognitive ability minimally within functional limits.
Able to pass vision and hearing screening (with use of corrective aids if needed; eyeglasses, hearing aids).
Willing to allow audio-recording of study sessions.

Exclusion Criteria:

Younger than 18 years old.
Diagnosis or history of neurological disorder other than stroke.
Diagnosis or history of psychiatric disorder.
History of seizures within the past 6 months.
Pregnant.
<6 months post-stroke (however, if this is only exclusionary criterion met, participant can be re-evaluated at the 6-month mark if still interested in the study)
Currently undergoing speech and language therapy targeting auditory comprehension or attention.
Metal implants in the head.
Currently has a skull fracture.
Onset of aphasia related to etiology other than left hemisphere stroke.
Damaged brain tissue includes left hemisphere dorsolateral prefrontal cortex.
No aphasia or severe aphasia.
Cognitive ability below functional limits.
Unable to pass vision and/or hearing screening with use of corrective aids.
Unwilling to allow audio-recording of study sessions.","No","18 Years","All","Syracuse New York United States","Syracuse","13244","New York",NA,"United States",-76.1474,43.0481
"20",33,"Timing of Transcranial Direct Current Stimulation (tDCS) Combined With Speech and Language Therapy (SLT)","Aphasia","April 3, 2019","NCT03773406","Shirley Ryan AbilityLab","Recruiting","Aphasia is an acquired (typically left-hemisphere) multi-modality disturbance of language that impacts around 2 million people in the USA. Aphasia impacts language production and comprehension as well as reading and writing. The ramifications of aphasia extend beyond language impairment to negatively impacting a person's social, vocational, and recreational activities. Currently, the most effective way to treat aphasia is with speech-language therapy (SLT). However, even if SLT is intensive, persons with aphasia are left with residual language delays. Recent research suggests that pairing SLT with transcranial direct current stimulation (tDCS) a non-invasive, safe, low-cost form of brain stimulation may aid language recovery in persons with aphasia. However, results from tDCS studies are inconclusive. The success of tDCS in combination with SLT could depend on the timing of tDCS since tDCS-induced effects depend on the neuronal state of the brain-networks at the time of the stimulation. In this study, the differential impact of tDCS before behavioral SLT (offline-before therapy), tDCS after SLT (offline-after therapy), and tDCS concurrently with SLT (online) on functional language recovery in persons with aphasia will be investigated. Sham tDCS (i.e., SLT alone) as a control group will also be included in the study. The investigators hypothesize that both offline and online tDCS will improve language functioning than sham tDCS.","tDCS Implementation:

2mA of direct current for 20 minutes will be delivered using a constant current stimulator via two electrodes in saline soaked sponges. To stimulate the left angular gyrus, a cathodal electrode inside a saline soaked sponge (5 x 3cm) will be placed over the CP5 according to the 10-20 international system for EEG electrode placement. The electrodes will be secured in position by a custom-built EEG cap that will be marked with the location for angular gyrus. The investigators will then confirm that the cathodal electrode is over the left angular through the use of neuronavigation. The ""return"" anode electrode will be placed in a saline soaked sponge (5 x 5cm) on the center of the supraorbital region.

At the beginning of the tDCS, current will slowly ram-up during the first few seconds until it reaches 2mA. The ramp-up process will acclimate the participants to tDCS-induced sensations (e.g., itching). At the end of the tDCS sessions, current will slowly ramp down in the last few seconds to 0mA. The total duration of the 2mA current will be maintained for 20 minutes. For sham stimulation, the investigators will place the electrodes in the same location as the real tDCS groups with stimulation ending after few seconds. The brief stimulation will produce tDCS-induced sensations so that participants will not be aware when the tDCS stopped delivering direct current

Speech-Language Treatment:

Standard-of-care treatment - script training will be used to provide SLT to our participants. The treatment will be delivered via a computer program, Aphasia Scripts <c2><ae>, whereby a virtual therapist interactively guides the participants through treatment steps. Scripts will be five to ten sentences and developed from common templates about topics relevant to daily life (e.g., asking questions at the grocery store, ordering in a restaurant). The advantage of using a computer program instead of a human therapist is that it removes extraneous variables associated with human therapists (e.g., different levels of encouragement) and this, together with the use of script templates, ensures treatment fidelity across participants.

Duration of an individual subject's participation in the study:

Subjects will be requested to come for baseline sessions (3 to 4 hours) before the actual experiment. The baseline assessments may be done over two visits. In the baseline session the subjects' aphasia severity will be assessed. The participants will also perform baseline tasks of language and cognition in this session. Subjects will then participate in 3 weeks of tDCS and SLT (i.e., 15 sessions). The sessions will consist of 40 minutes of SLT and 20 minutes of tDCS. Subjects will be asked to return for an assessment immediately following the end of treatment and for follow-up testing after 4 and 8 weeks. Therefore, total number of visits will be 19-23 sessions (depending on how many visits are needed for the assessments) over a period of three months.","Aphasia, tDCS, Script training, Functional language, Naming","Interventional","Inclusion Criteria:

Men or women with diagnosis of fluent or non-fluent aphasia subsequent to a left-hemisphere infarct(s) that is confirmed by a MRI or CT scan
Aphasia quotient on the WAB of 35-80
At least 6 months post onset of aphasia (this is beyond the stage of spontaneous recovery)
18- 80 years of age
Premorbidly fluent in English
Premorbidly right-hand dominant per the Edinburg Handedness Inventory
Visual acuity of 20/40 corrected
Auditory acuity no worse than 30 dB HL on pure tone testing, aided in the better ear.
Education greater than 12th grade

Exclusion Criteria:

Any other neurological condition (other than cerebral vascular disease) that could impact language and cognition such as Alzheimer's disease, Parkinson's disease, primary progressive aphasia, and traumatic brain injury
Active substance use
Individuals with epilepsy","No","18 Years","All","Chicago Illinois United States","Chicago","60611","Illinois","Leora Cherney","United States",-87.6244,41.8756
